registry	index	id	spelling	surface	program_path	status	reason	gap_id	fix	command	evidence
Syntax::LEXICAL_LEDGER	20	syntax-registry-020-name-9dc898cd	_name	language_server	scripts/agent/syntax-roundtrip-fixtures/020.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[20]	syntax-roundtrip:syntax-registry-020-name-9dc898cd:language_server	Add a real fixture for syntax-registry-020-name-9dc898cd and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	20	syntax-registry-020-name-9dc898cd	_name	canvas	scripts/agent/syntax-roundtrip-fixtures/020.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[20]	syntax-roundtrip:syntax-registry-020-name-9dc898cd:canvas	Add a real fixture for syntax-registry-020-name-9dc898cd and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	21	syntax-registry-021-core-intrinsic-56be2490	__core_intrinsic	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/021.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[21]	syntax-roundtrip:syntax-registry-021-core-intrinsic-56be2490:jet_fmt	Add a real fixture for syntax-registry-021-core-intrinsic-56be2490 and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	21	syntax-registry-021-core-intrinsic-56be2490	__core_intrinsic	language_server	scripts/agent/syntax-roundtrip-fixtures/021.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[21]	syntax-roundtrip:syntax-registry-021-core-intrinsic-56be2490:language_server	Add a real fixture for syntax-registry-021-core-intrinsic-56be2490 and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	21	syntax-registry-021-core-intrinsic-56be2490	__core_intrinsic	canvas	scripts/agent/syntax-roundtrip-fixtures/021.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[21]	syntax-roundtrip:syntax-registry-021-core-intrinsic-56be2490:canvas	Add a real fixture for syntax-registry-021-core-intrinsic-56be2490 and exercise canvas	null	[]
AST::Stmt + AST::Expr	ast-expr-absent-50c66538	ast-expr-absent-50c66538	Absent	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/ast/ast-expr-absent-50c66538.jet	uncovered	No AST fixture program is registered for Expr::Absent	syntax-roundtrip:ast-expr-absent-50c66538:jet_fmt	Add a real fixture for ast-expr-absent-50c66538 and exercise jet_fmt	null	[]
AST::Stmt + AST::Expr	ast-expr-absent-50c66538	ast-expr-absent-50c66538	Absent	language_server	scripts/agent/syntax-roundtrip-fixtures/ast/ast-expr-absent-50c66538.jet	uncovered	No AST fixture program is registered for Expr::Absent	syntax-roundtrip:ast-expr-absent-50c66538:language_server	Add a real fixture for ast-expr-absent-50c66538 and exercise language_server	null	[]
AST::Stmt + AST::Expr	ast-expr-absent-50c66538	ast-expr-absent-50c66538	Absent	canvas	scripts/agent/syntax-roundtrip-fixtures/ast/ast-expr-absent-50c66538.jet	uncovered	No AST fixture program is registered for Expr::Absent	syntax-roundtrip:ast-expr-absent-50c66538:canvas	Add a real fixture for ast-expr-absent-50c66538 and exercise canvas	null	[]
AST::Stmt + AST::Expr	ast-expr-binary-f7214e1c	ast-expr-binary-f7214e1c	Binary	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/ast/ast-expr-binary-f7214e1c.jet	uncovered	No AST fixture program is registered for Expr::Binary	syntax-roundtrip:ast-expr-binary-f7214e1c:jet_fmt	Add a real fixture for ast-expr-binary-f7214e1c and exercise jet_fmt	null	[]
AST::Stmt + AST::Expr	ast-expr-binary-f7214e1c	ast-expr-binary-f7214e1c	Binary	language_server	scripts/agent/syntax-roundtrip-fixtures/ast/ast-expr-binary-f7214e1c.jet	uncovered	No AST fixture program is registered for Expr::Binary	syntax-roundtrip:ast-expr-binary-f7214e1c:language_server	Add a real fixture for ast-expr-binary-f7214e1c and exercise language_server	null	[]
AST::Stmt + AST::Expr	ast-expr-binary-f7214e1c	ast-expr-binary-f7214e1c	Binary	canvas	scripts/agent/syntax-roundtrip-fixtures/ast/ast-expr-binary-f7214e1c.jet	uncovered	No AST fixture program is registered for Expr::Binary	syntax-roundtrip:ast-expr-binary-f7214e1c:canvas	Add a real fixture for ast-expr-binary-f7214e1c and exercise canvas	null	[]
AST::Stmt + AST::Expr	ast-expr-binmatchlit-706cb9c4	ast-expr-binmatchlit-706cb9c4	BinMatchLit	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/ast/ast-expr-binmatchlit-706cb9c4.jet	uncovered	No AST fixture program is registered for Expr::BinMatchLit	syntax-roundtrip:ast-expr-binmatchlit-706cb9c4:jet_fmt	Add a real fixture for ast-expr-binmatchlit-706cb9c4 and exercise jet_fmt	null	[]
AST::Stmt + AST::Expr	ast-expr-binmatchlit-706cb9c4	ast-expr-binmatchlit-706cb9c4	BinMatchLit	language_server	scripts/agent/syntax-roundtrip-fixtures/ast/ast-expr-binmatchlit-706cb9c4.jet	uncovered	No AST fixture program is registered for Expr::BinMatchLit	syntax-roundtrip:ast-expr-binmatchlit-706cb9c4:language_server	Add a real fixture for ast-expr-binmatchlit-706cb9c4 and exercise language_server	null	[]
